Table 62. Region of residence: Shares of annual aggregate expenditures and sources of income, Consumer                                                                                                  
Expenditure Survey, 2002                                                                                                                                                                                
                                                                                                                                                                                                        
  (Aggregates in millions of dollars, unless otherwise indicated)                                                                                                                                       
                                                                                                                                                                                                        
                                                                                                                                                                                                        
                    Item                        Aggregate    Northeast     Midwest       South        West                                                                                              
        Fresh vegetables.....................      19,522         21.8         19.1         32.1         27.1                                                                                           
        Processed fruits.....................      12,894         22.2         21.4         31.5         24.9                                                                                           
        Processed vegetables.................       9,314         18.7         21.9         37.2         22.2                                                                                           
      Other food at home.....................    $108,260         19.4         23.2         33.5         23.8                                                                                           
        Sugar and other sweets...............      13,105         19.7         23.3         33.3         23.8                                                                                           
        Fats and oils........................       9,507         21.2         21.5         34.4         22.9                                                                                           
        Miscellaneous foods..................      52,682         18.6         23.4         34.3         23.7                                                                                           
        Nonalcoholic beverages...............      28,348         20.0         23.9         32.5         23.6                                                                                           
        Food prepared by consumer unit on                                                                                                                                                               
         out-of-town trips...................       4,618         19.8         20.4         30.4         29.3                                                                                           
    Food away from home......................     254,304         21.4         22.7         33.3         22.6                                                                                           
 Alcoholic beverages.........................      41,984         23.6         25.0         26.5         24.8                                                                                           
 Housing.....................................   1,488,623         20.9         22.0         31.6         25.6                                                                                           
    Shelter..................................     877,736         21.8         20.9         29.5         27.8                                                                                           
      Owned dwellings........................     579,031         21.3         22.1         29.9         26.7                                                                                           
        Mortgage interest and charges........     332,081         18.3         20.6         30.5         30.7                                                                                           
        Property taxes.......................     139,278         29.8         24.5         26.0         19.7                                                                                           
        Maintenance, repairs, insurance,other                                                                                                                                                           
         expenses............................     107,671         19.9         23.6         32.9         23.6                                                                                           
      Rented dwellings.......................     242,140         22.6         17.7         28.8         30.9                                                                                           
      Other lodging..........................      56,565         22.7         22.7         29.2         25.5                                                                                           
    Utilities, fuels, and public services....     300,933         19.5         23.1         36.9         20.6                                                                                           
      Natural gas............................      36,967         26.0         32.1         21.9         20.1                                                                                           
      Electricity............................     109,987         16.7         21.3         43.8         18.3                                                                                           
      Fuel oil and other fuels...............       9,912         51.1         20.1         19.2          9.6                                                                                           
      Telephone services.....................     107,258         18.9         22.5         36.8         21.7                                                                                           
      Water and other public services........      36,808         14.5         21.6         36.4         27.5                                                                                           
    Household operations.....................      79,115         21.7         18.6         34.9         24.8                                                                                           
      Personal services......................      37,109         24.8         18.1         36.3         20.8                                                                                           
      Other household expenses...............      42,006         18.9         19.1         33.7         28.3                                                                                           
    Housekeeping supplies....................      60,872         17.8         29.9         31.7         20.6                                                                                           
      Laundry and cleaning supplies..........      14,576         17.6         23.9         37.2         21.2                                                                                           
      Other household products...............      31,623         16.4         35.2         29.8         18.5                                                                                           
      Postage and stationery.................      14,673         20.7         24.3         30.4         24.6                                                                                           
    Household furnishings and equipment......     169,967         19.5         24.0         31.2         25.3                                                                                           
      Household textiles.....................      15,143         17.5         21.9         30.1         30.5                                                                                           
      Furniture..............................      44,986         21.8         20.8         31.8         25.5                                                                                           
      Floor coverings........................       4,539         22.5         25.7         33.0         18.8                                                                                           
      Major appliances.......................      21,116         19.1         24.0         30.8         26.1                                                                                           
      Small appliances, miscellaneous                                                                                                                                                                   
       housewares............................      11,226         17.5         23.2         31.3         28.0                                                                                           
      Miscellaneous household equipment......      72,957         18.7         26.5         31.1         23.8                                                                                           
  Apparel and services.......................     195,503         21.7         22.7         32.3         23.3                                                                                           
    Men and boys.............................      45,769         20.4         24.0         31.4         24.2                                                                                           
      Men, 16 and over.......................      35,699         20.3         23.8         30.8         25.0                                                                                           
      Boys, 2 to 15..........................      10,070         20.8         24.6         33.6         21.1                                                                                           
    Women and girls..........................      78,654         21.6         23.9         32.0         22.5                                                                                           
      Women, 16 and over.....................      65,543         21.2         24.5         31.4         22.8                                                                                           
      Girls, 2 to 15.........................      13,112         23.4         20.7         35.1         20.8                                                                                           
    Children under 2.........................       9,235         18.5         24.4         34.6         22.5                                                                                           
    Footwear.................................      34,960         23.5         20.1         34.2         22.2                                                                                           
    Other apparel products and services......      26,885         23.0         19.9         31.0         26.1                                                                                           
  Transportation.............................     869,829         17.6         24.2         34.0         24.2                                                                                           
    Vehicle purchases (net outlay)...........     410,866         15.8         25.4         35.0         23.9                                                                                           
      Cars and trucks, new...................     196,520         17.4         21.2         36.6         24.8                                                                                           
      Cars and trucks, used..................     206,534         14.2         29.0         33.7         23.1                                                                                           
      Other vehicles.........................       7,812         17.0         36.1         27.2         19.8                                                                                           
    Gasoline and motor oil...................     138,459         16.6         23.7         35.8         23.8                                                                                           
    Other vehicle expenses...................    $276,931         18.9         23.2         33.2         24.7                                                                                           
      Vehicle finance charges................      44,511         14.3         23.0         40.7         22.0                                                                                           
      Maintenance and repairs................      78,142         16.2         22.7         32.9         28.1                                                                                           
      Vehicle insurance......................     100,168         19.6         22.6         34.4         23.4                                                                                           
      Vehicle rental, leases, licenses,                                                                                                                                                                 
       other charges.........................      54,110         25.4         25.2         25.2         24.2                                                                                           
    Public transportation....................      43,573         30.0         20.3         24.3         25.4                                                                                           
  Health care................................     263,421         17.9         23.4         36.9         21.8                                                                                           
    Health insurance.........................     130,909         19.2         23.4         36.5         20.9                                                                                           
    Medical services.........................      66,128         16.3         22.2         36.1         25.5                                                                                           
    Drugs....................................      54,591         16.4         24.6         39.9         19.2                                                                                           
    Medical supplies.........................      11,793         19.4         24.6         31.2         24.8                                                                                           
  Entertainment..............................     232,933         21.0         23.8         29.2         26.0                                                                                           
    Fees and admissions......................      60,726         23.1         22.9         27.6         26.4                                                                                           
    Television, radios, sound equipment......      77,559         19.9         22.9         33.1         24.0                                                                                           
    Pets, toys, and playground equipment.....      41,307         18.9         25.2         32.8         23.1                                                                                           
    Other entertainment supplies,                                                                                                                                                                       
     equipment,and services..................      53,341         21.7         24.9         22.6         30.8                                                                                           
  Personal care products and services........      58,816         18.9         22.6         34.4         24.0                                                                                           
  Reading....................................      15,535         22.7         24.9         26.5         25.9                                                                                           
  Education..................................      84,276         26.9         22.0         23.1         28.0                                                                                           
  Tobacco products and smoking supplies......      35,929         18.7         28.5         35.7         17.1                                                                                           
  Miscellaneous..............................      88,791         17.6         22.6         34.4         25.4                                                                                           
  Cash contributions.........................     143,172         17.8         24.6         33.3         24.2                                                                                           
  Personal insurance and pensions............     437,065         19.1         24.1         33.2         23.5                                                                                           
    Life and other personal insurance........      45,528         21.5         25.4         34.2         18.9                                                                                           
    Pensions and Social Security.............     391,536         18.9         23.9         33.1         24.1                                                                                           
 Sources of income and personal taxes: a/                                                                                                                                                               
   Money income before taxes.................   4,566,788         20.5         22.5         33.6         23.4                                                                                           
    Wages and salaries.......................   3,682,981         21.1         22.7         33.4         22.8                                                                                           
    Self-employment income...................     206,679         16.6         19.4         30.1         33.9                                                                                           
    Social Security, private and                                                                                                                                                                        
     government retirement...................     483,576         19.4         21.7         37.8         21.1                                                                                           
    Interest, dividends, rental income,                                                                                                                                                                 
     other property income...................      85,406         15.5         24.4         27.7         32.5                                                                                           
    Unemployment and workers'' compensation,                                                                                                                                                            
     veterans'' benefits.....................      21,520         23.5         26.3         22.8         27.3                                                                                           
    Public assistance, supplemental security,                                                                                                                                                           
     income, food stamps.....................      32,559         19.9         16.5         35.9         27.6                                                                                           
    Regular contributions for support........      38,106         11.1         37.6         29.2         22.1                                                                                           
    Other income.............................      15,961         15.3         23.5         25.7         35.5                                                                                           
  Personal taxes.............................     230,625         18.1         25.6         29.5         26.8                                                                                           
    Federal income taxes.....................     170,231         17.4         23.9         31.7         27.0                                                                                           
    State and local income taxes.............      46,790         19.3         30.6         22.5         27.6                                                                                           
    Other taxes..............................      13,603         22.4         30.4         26.1         21.2                                                                                           
 Income after taxes..........................   4,336,164         20.6         22.4         33.8         23.2                                                                                           
                                                                                                                                                                                                        
  a Components of income and taxes are derived from "complete income reporters" only;  see glossary.                                                                                                    
  b Value less than 0.5.                                                                                                                                                                                
